CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
ELI,"Empire East Land Holdings, Inc.",O,0.255,14676199167,3742430788,Property,Property,January-December,1296000000,40577000000,362000000,1980000000,45139000000,865000000,13663000000,599000000,16841000000,25485000000,28298000000,4424000000,405000000,-7000000,627000000,626000000,126269200,11430400,-14137000,341791500,1765700000,-827700000,,,-484296600
EVER,"Ever-Gotesco Resources and Holdings, Inc.",O,0.097,5000000000,485000000,Property,Property,January-December,1000000,,,,2353000000,50000000,,,1344000000,1009000000,1009000000,,-18955600,,-748503600,-748503600,,27700,,,,,,,
FLI,"Filinvest Land, Inc.",O,1,24249759506,24249759506,Property,Property,January-December,5404000000,,8537000000,62461000000,177115000000,9934000000,,60921000000,103540000000,73287000000,73575000000,22699000000,6685000000,366000000,5838000000,6086000000,463200000,5408000000,-8866000000,-8866000000,300000000,-1145300000,,-1482000000,3337000000
GERI,"Global-Estate Resorts, Inc.",O,0.85,10986000000,9338100000,Property,Property,January-December,2621000000,,1183000000,10785000000,49768000000,2643000000,,4402000000,16519000000,27559000000,33249000000,8263000000,2522000000,0,1489000000,1916000000,62500000,666768500,-122000000,-354180400,445000000,-1385400000,,-50000000,537583200
HOUSE,"8990 Holdings, Inc.",O,9.97,5391399020,53752248229,Property,Property,January-December,502000000,49354000000,834000000,1509000000,68136000000,9983000000,15248000000,20904000000,36269000000,31867000000,31867000000,13625000000,5587000000,,5475000000,5475000000,89000000,-7062000000,353000000,-788000000,-2581200000,100000,-1066000000,-1957000000,1534000000
IRC,"Philippine Infradev Holdings, Inc.",O,0.85,6061560322,5152326274,Property,Property,January-December,785000000,,1112000000,21357000000,28582000000,6000000,,1000000,16335000000,12248000000,12248000000,94440600,-21461600,,5257089800,5257089800,494574,-372908800,-828100,-5834500,11539200,-18036006,,,319634800
KEP,"Keppel Philippines Properties, Inc.",O,3.43,293828900,1007833127,Property,Property,January-December,120000000,233000000,26000000,1207000000,1468000000,4000000,98000000,8000000,106000000,1362000000,1362000000,13325900,64748500,-57206000,-110945100,-110945100,4372800,-21227100,-9703100,-10982200,,0,,,-1695700
LAND,"City & Land Developers, Incorporated",O,0.69,1431785284,987931846,Property,Property,January-December,468000000,,,671000000,2515000000,193000000,,,387000000,2127000000,2127000000,579328500,217724000,,183372500,183372500,,-571107200,,156655800,682950000,-225050000,,-56569500,384032500
MEG,Megaworld Corporation,O,3.01,32056275872,96489390375,Property,Property,January-December,23105000000,190506000000,6702000000,118901000000,349633000000,14865000000,57545000000,72662000000,155005000000,168226000000,194628000000,61961000000,23287000000,-59000000,17368000000,18733000000,2718000000,19915000000,-552000000,-12620000000,28587900000,-18955600000,,-2379000000,-1732000000
MRC,"MRC Allied, Inc.",O,0.153,8512658975,1302436823,Property,Property,January-December,1000000,583000000,5000000,,1334000000,25000000,864000000,,874000000,460000000,460000000,,-38170300,,-59129800,-59129800,2730800,-33401700,,4035700,13600000,,,,29983300
PHES,Philippine Estates Corporation,O,0.315,1445549830,455348196,Property,Property,January-December,43000000,1261000000,41000000,14000000,1625000000,63000000,305000000,28000000,531000000,1094000000,1094000000,263607600,24142200,,22098100,22098100,4964600,-13796000,4521400,71311500,78989200,-77094200,,,-25950200
PMT,"Primetown Property Group, Inc.",S,,865824000,320354880,Property,Property,January-December,,351887000000,,,327700000,,1149393000000,,1115800000,-788100000,-788100000,0,,,-4837000000,-4837000000,,-22000000,0,0,,,,,0
PRMX,Primex Corporation,O,1.44,1661666665,2392799998,Property,Property,January-December,14000000,1984000000,8000000,84000000,2175000000,290000000,1193000000,2000000,1223000000,953000000,953000000,142366000,31120400,,36722900,36722900,5073300,-154332900,-3921600,-4092000,132000000,,,-43203300,48796700
RLC,Robinsons Land Corporation,O,17.6,5193830685,91411420056,Property,Property,January-December,9593000000,,11954000000,103891000000,190524000000,8683000000,,36460000000,90446000000,99509000000,100078000000,38979000000,11881000000,-30000000,8979000000,8979000000,2339400000,7875000000,-3553000000,-16323000000,1193000000,-2147300000,,-79000000,2249000000
RLT,Philippine Realty and Holdings Corporation,O,0.232,4922324907,1141979378,Property,Property,January-December,172000000,,116000000,1802000000,5538000000,386000000,,827000000,1835000000,3708000000,3703000000,1766477300,610710300,-6330100,422973500,422241700,12778183,-159369500,-6672200,-157818300,686578545,-407752880,,,439536000
ROCK,Rockwell Land Corporation,O,1.58,6116762198,9664484273,Property,Property,January-December,2959000000,,5224000000,14245000000,58587000000,6986000000,,17028000000,37690000000,20330000000,20897000000,14708000000,3770000000,297000000,2917000000,2901000000,584600000,6547000000,-705000000,-4264000000,8884000000,-5455000000,,-501000000,-650000000
SHNG,"Shang Properties, Inc.",O,2.7,4764056287,12862951975,Property,Property,January-December,1652000000,,13057000000,34636000000,61893000000,2528000000,,3192000000,21823000000,33944000000,40070000000,14626000000,4705000000,3000000,3680000000,4251000000,1579500365,-317000000,1291000000,646000000,2100000000,-5344374971,,-559000000,-2063000000
SLI,"Sta. Lucia Land, Inc.",O,1.81,8196450000,14835574500,Property,Property,January-December,834000000,,43000000,6046000000,38064000000,3128000000,,11474000000,22339000000,15725000000,15725000000,6269000000,2372000000,,1958000000,1958000000,79307977,-1473381300,-41133900,-350925100,5047000000,-3808688200,,,2284492200
SMPH,"SM Prime Holdings, Inc.",O,31.6,28879231694,912583721530,Property,Property,January-December,47933000000,,1350000000,428787000000,688664000000,57269000000,,210540000000,386049000000,300938000000,302615000000,117559000000,46487000000,265900000,37610000000,38190000000,2725900000,41811000000,-8695000000,-60084000000,76093000000,-39501000000,,-10508000000,25952000000
STR,"Vistamalls, Inc.",O,3.7,8425981156,31176130277,Property,Property,January-December,496000000,13715000000,79000000,50520000000,68063000000,1125000000,34015000000,3597000000,43978000000,23958000000,24085000000,6458000000,3402000000,,2579000000,2589000000,1392000000,1020000000,-11191000000,-7822000000,-3262000000,-738500000,,-412000000,6595000000
SUN,"Suntrust Home Developers, Inc.",O,1.33,7250000000,9642500000,Property,Property,January-December,350897900,689120300,48776300,24168300,808580900,,271054900,,311405200,497175700,497175700,651155700,134528600,,102299900,102299900,19247700,102605100,-6227600,-111642800,900000,,,,-1748400
TFC,PTFC Redevelopment Corporation,O,45,35000000,1575000000,Property,Property,September-August,273443300,,1630200,87325400,499835100,,,,75686600,424148400,424148400,203936300,109248200,16588900,127988400,127988400,2000000,96601300,-1534900,11215100,,,,-52194000,-52194000
VLL,"Vista Land & Lifescapes, Inc.",O,3.8,12698007676,48252429169,Property,Property,January-December,16542000000,,2547000000,133732000000,274351000000,11336000000,,135548000000,174398000000,97649000000,99953000000,42897000000,12074000000,,11265000000,11609000000,484000000,-2787000000,-1194000000,-22737000000,951000000,-37000000,-632000000,-3181000000,19453000000
2GO,"2GO Group, Inc.",O,9.57,2462146316,23562740244,Services,Transportation Services,January-December,1621000000,8939000000,6162000000,319000000,17196000000,3865000000,9917000000,3533000000,13801000000,3337000000,3395000000,20686000000,375000000,-42000000,-236000000,-240000000,2297710000,1112435000,-782579000,-542542000,2060000000,-356819000,,,-352834000
ABS,ABS-CBN Corporation,O,15.28,861971968,13170931671,Services,Media,January-December,20729000000,39129000000,27871000000,892000000,85654000000,549000000,16365000000,26747000000,48428000000,37196000000,37226000000,42668000000,4050000000,-31000000,2848000000,2696000000,5376000000,7485000000,-5327000000,-12279000000,4999000000,-6161000000,-55400000,-679000000,-1896000000
ACE,Acesite (Phils.) Hotel Corporation,O,1.24,344747520,427486925,Services,Hotel & Leisure,January-December,64000000,651000000,922000000,22000000,2231000000,,895000000,,1106000000,1125000000,1125000000,9621000,-216631000,,-377476600,-377476600,74355300,-19305100,-657640400,-328273700,185300000,,,,185284300
APC,"APC Group, Inc.",O,0.315,7504203997,2363824259,Services,Other Services,January-December,137000000,139000000,0,14000000,1397000000,,109000000,,112000000,1292000000,1285000000,,-5800300,,-5274600,-5293500,15800,-6430200,-62500,-865500,,,,,
APL,"Apollo Global Capital, Inc.",O,0.05,280336349297,14016817465,Services,Information Technology,January-December,1000000,4000000,0,,3612000000,7000000,99000000,,406000000,2692000000,3207000000,,-13204500,,-12438100,-15045400,65200,-29676400,-10874600,-10721500,7400000,7930044,,,39987000
ATI,"Asian Terminals, Inc.",O,16.9,2000000000,33800000000,Services,Transportation Services,January-December,5637000000,8750000000,1585000000,59000000,31433000000,459000000,5469000000,8371000000,14037000000,17385000000,17396000000,10194000000,4548000000,48000000,3074000000,3077000000,1608000000,3332000000,-3446000000,-3385000000,,19000000,,-1125000000,-2037000000
BCOR,Berjaya Philippines Inc.,O,2.13,4341280855,9246928221,Services,Casinos & Gaming,May-April,856000000,9993000000,4617000000,2850000000,19081000000,4083000000,7769000000,2702000000,10541000000,8526000000,8540000000,31100000000,472000000,-16000000,96000000,102000000,398999600,-543519000,-251866400,-164314000,638800000,-1228800000,,,-590000000
BHI,"Boulevard Holdings, Inc.",O,0.025,12000000000,300000000,Services,Hotel & Leisure,June-May,2000000,53000000,1045000000,901000000,2018000000,4000000,186000000,,308000000,1694000000,1710000000,140647900,-46203600,,-129800,-29521000,59767100,-53944200,-2000900,176900,,,0,,53685100
BLOOM,Bloomberry Resorts Corporation,O,7.58,10959692789,83074471341,Services,Casinos & Gaming,January-December,37774000000,41637000000,83915000000,128000000,128333000000,2083000000,18206000000,66584000000,86193000000,42188000000,42140000000,45005000000,14930000000,-98000000,9121000000,9085000000,3591000000,11596000000,-5494000000,-5528000000,72206000000,-2756000000,-706000000,-3480000000,-5179000000
C,Chelsea Logistics and Infrastracture Holdings Corp.,O,3.72,1821977615,6777756728,Services,Transportation Services,January-December,385000000,4985000000,22915000000,6431000000,41004000000,6125000000,18077000000,10183000000,28551000000,12274000000,12454000000,6991000000,581000000,-483000000,-815000000,-815000000,1272582800,8639207200,-3812414600,-8912528100,597200000,-442900000,,,164636100
CAL,Calata Corporation,S,2.04,570340679,1163494985,Services,Retail,January-December,160700000,1698000000,409200000,,2648000000,703500000,957500000,,986400000,1655200000,1661600000,2369700000,387800000,,146200000,146300000,22000000,-203500000,4400000,-149600000,-50000000,-36100000,,,230600000
CEB,"Cebu Air, Inc.",O,42,600316700,25213301400,Services,Transportation Services,January-December,17473000000,24027000000,121371000000,1167000000,154994000000,17295000000,45572000000,60022000000,113053000000,41941000000,41941000000,79544000000,8023000000,-8000000,4561000000,4561000000,20190000000,20583000000,-22110000000,-19197000000,14975000000,-14902000000,-77000000,-4206000000,-5875000000
CEU,Centro Escolar University,O,6.45,372414400,2402072880,Services,Education,April-March,140000000,527000000,4809000000,152000000,5614000000,,618000000,,1253000000,4355000000,4362000000,1357592200,32447500,,28269000,31217600,91291300,-8519600,-141342100,-116579300,,,,-79319300,-79319300
DFNN,"DFNN, Inc.",O,2.8,324620008,908936022,Services,Information Technology,January-December,491000000,1553000000,84000000,94000000,2139000000,36000000,781000000,7000000,945000000,1086000000,1194000000,1103189700,1225100,-5878300,-14311700,-1418800,83168300,17712400,-41979800,-38517000,-1100000,-2469288,-9704600,-10000000,-17053400
DITO,DITO CME Holdings Corp.,O,3.65,2800000000,10220000000,Services,Information Technology,January-December,159000000,3953000000,0,372000000,4374000000,,0,,0,4374000000,4374000000,-200000,-26909500,-178700,70049300,70049300,63000,-3800680100,0,850474800,,,,,1879700000
DWC,Discovery World Corporation ,O,1.65,664000000,1095600000,Services,Hotel & Leisure,January-December,153000000,399000000,3313000000,652000000,4967000000,1544000000,2310000000,1417000000,3864000000,1103000000,1103000000,960260700,51018300,,-33823100,-33823100,153371100,-44500500,-338408800,-519689300,813000000,-99200000,,,547345500
ECP,"EasyCall Communications Philippines, Inc.",O,7.03,150000000,1054500000,Services,Other Services,January-December,22138800,68725500,51687900,121965600,243132100,,45795900,,47715600,195416500,195416500,68446800,3416500,47337000,48310500,48616200,4535500,86708200,-34772000,-83866000,,,,,-4096200
EG,"IP E-Game Ventures, Inc.",S,0.0094,30000000000,282000000,Services,Casinos & Gaming,January-December,0,216000000,,2509000000,2766000000,,107000000,,107000000,2659000000,2659000000,188459600,571500,-17218300,-1372800,-1372800,4895200,50331200,-10464000,-651100,3900000,-48300000,,,-44359000
FEU,"Far Eastern University, Incorporated",O,777,24056437,18691851549,Services,Education,June-May,3466000000,5031000000,9206000000,843000000,15493000000,889000000,3328000000,1664000000,5073000000,7611000000,10420000000,3797000000,987000000,0,1050000000,1104000000,435508900,1024503400,-1210672700,-101513200,,,-1116600,-288728300,156583900
GLO,"Globe Telecom, Inc.",O,2130,133432727,284211708510,Services,Telecommunications,January-December,14519000000,70480000000,190186000000,34172000000,318175000000,19591000000,90529000000,128924000000,233585000000,84442000000,84590000000,167215000000,45381000000,-2746000000,22118000000,22149000000,35183000000,63049000000,-52927000000,-56332000000,14852000000,-8515000000,,-13258000000,-7915000000
GMA7,"GMA Network, Inc.",O,4.87,3361047000,16368298890,Services,Media,January-December,2768000000,10551000000,5570000000,446000000,17186000000,1218000000,4911000000,,7605000000,9514000000,9581000000,16312000000,3824000000,6000000,2523000000,2540000000,568000000,2574000000,-734000000,-619000000,500000000,-1200000000,,-2175000000,-2157000000
GPH,Grand Plaza Hotel Corporation,O,13.72,53717369,737002303,Services,Hotel & Leisure,January-December,343000000,486000000,612000000,50000000,1251000000,4000000,222000000,171000000,393000000,858000000,858000000,438664500,16807600,1641800,7400500,7400500,41371500,84999100,-104970300,-104970300,-63318800,-2539665,,,110995300
HOME,AllHome Corp.,O,7.27,3750000002,27262500015,Services,Retail,January-December,1267000000,8036000000,11409000000,,20075000000,609000000,2464000000,4476000000,7390000000,12685000000,12685000000,13046000000,1702000000,,1113000000,1113000000,793770800,1675415400,-3447515500,-3447515500,,0,,-25570400,2936487400
HVN,"Golden Bria Holdings, Inc.",O,281.2,644117649,181125882899,Services,Other Services,January-December,702000000,19283000000,379000000,539000000,22968000000,3085000000,12506000000,827000000,15216000000,7753000000,7753000000,7614000000,2360000000,,2216000000,2216000000,102257200,-1781729600,-194794400,-367743200,2643038000,-535067000,,,2581332700
ICT,"International Container Terminal Services, Inc.",O,101.2,2002391699,202642039939,Services,Transportation Services,January-December,22897000000,34603000000,88847000000,22821000000,286499000000,18516000000,43008000000,209887000000,263198000000,13928000000,22908000000,82652000000,30138000000,-985000000,1616000000,3279000000,11974000000,28112000000,1291000000,-10297000000,27878000000,-33603000000,-1799000000,-11296000000,-9376000000
IMP,"Imperial Resources, Inc.",O,1.23,652500000,802575000,Services,Information Technology,January-December,2625900,2644600,10800,785080000,855494600,,2005800,,44828700,810903900,810665900,0,1988300,,227849800,227846100,20500,-6594100,,,2300000,,0,,6144000
IPM,"IPM Holdings, Inc..",O,4.9,690000000,3381000000,Services,Other Services,January-December,11000000,1037000000,114000000,189000000,1402000000,92000000,229000000,,258000000,779000000,1144000000,223852500,93305700,5651600,43638600,58958100,48692600,59219800,-37481900,-27099700,,-1000000,,,-26100000
IPO,"iPeople, inc.",O,8.83,1044263197,9220844030,Services,Education,January-December,1381000000,2378000000,12336000000,,15615000000,1157000000,3095000000,1880000000,5763000000,9314000000,9852000000,2498183400,368438800,,225936700,252010500,789475500,1292015100,-2869836900,-1979410700,5060700000,-2107900000,,-161468600,1414043100
IS,"Island Information & Technology, Inc.",O,0.074,4885748685,361545403,Services,Information Technology,November-October,46800,1363700,69000,17065000,18512600,,9001300,,126722500,-108209900,-108209900,100000,-1131700,,-495900,-495900,36000,-50700,,,0,,,,194100
JAS,"Jackstones, Inc.",O,1.75,250059097,437603419.8,Services,Information Technology,January-December,18309200,82992400,390000,,85050600,,64853600,,64871900,20178700,20178700,,-6561100,,-5500000,-5500000,32900,-40187200,-337100,-337100,-4200000,,,,1788700
LBC,"LBC Express Holdings, Inc.",O,13.16,1425865471,18764389598,Services,Transportation Services,January-December,4534000000,8193000000,3938000000,626000000,14336000000,953000000,5294000000,2867000000,10875000000,3434000000,3461000000,14974000000,1379000000,30000000,593000000,555000000,1050582300,1643303800,-1028203800,104414900,266600000,-50330400,,-55798400,-715286400
LOTO,Pacific Online Systems Corporation,O,1.89,895330946,1692175488,Services,Casinos & Gaming,January-December,403000000,846000000,132000000,202000000,1441000000,145000000,235000000,2000000,271000000,1165000000,1170000000,876171000,-355662100,,-328269800,-330524700,195653700,-245222200,-79249600,109135800,0,8439600,-16606800,-337273100,18346400
LR,Leisure & Resorts World Corporation,O,1.51,2417500000,3650425000,Services,Casinos & Gaming,January-December,2581000000,4218000000,1560000000,12664000000,20943000000,1213000000,3285000000,3368000000,7543000000,12919000000,13400000000,10434000000,-74000000,175000000,247000000,248000000,468399000,-500280100,-433697400,-399250700,870500000,-442800000,1005900,-121259100,3197751300
LSC,Lorenzo Shipping Corporation,O,0.77,554642251,427074533,Services,Transportation Services,January-December,43000000,1528000000,1348000000,,2894000000,641000000,2063000000,337000000,2493000000,402000000,402000000,2863613000,-90246800,,-120289600,-120289600,217047800,56416200,-129881900,100167700,54879200,-202042200,,,-252563000
MAC,MacroAsia Corporation,O,6.28,1575798693,9896015792,Services,Transportation Services,January-December,737000000,4370000000,3076000000,3527000000,12393000000,1066000000,3194000000,2469000000,5948000000,6023000000,6444000000,6567000000,262000000,912000000,918000000,984000000,297054600,-387040300,-431184800,-400829200,648575000,-135165400,-283036100,-317601400,-183251000
MAH-AB,Metro Alliance Holdings & Equities Corp.,O,2.395,306122449,733163265,Services,Transportation Services,January-December,34498700,216906100,8523300,24646300,626782800,,343120900,,472833400,111168200,153949400,321910400,23920700,,7090600,16457300,3464700,-2519000,-3551300,379400,,-300000,,,-2338400
MB,Manila Bulletin Publishing Corporation,O,0.36,3466139072,1247810066,Services,Media,January-December,56000000,3151000000,2438000000,95000000,5979000000,467000000,1382000000,1000000000,2382000000,3597000000,3597000000,1541629400,68786300,,14418600,14418600,62970900,30281400,-4412600,-29065300,537600000,-624000000,,,-10258900
MBC,Manila Broadcasting Company,O,13,402682990,5234878870,Services,Media,January-December,78000000,918000000,1110000000,208000000,2452000000,81000000,560000000,361000000,1057000000,1205000000,1395000000,989272200,164308700,,112626400,112626400,33067800,209387200,-208218700,-199926900,-29737500,-2000000,,-120683100,11669400
MJC,"Manila Jockey Club, Inc.",O,2.7,1494241674,4034452520,Services,Casinos & Gaming,January-December,520000000,1251000000,816000000,3196000000,5347000000,,439000000,315000000,1492000000,3795000000,3855000000,1550370300,232633700,-94970700,77994700,72930600,95505600,-127488000,-46871300,339044400,75000000,-34100000,,1793400,69675000
MRP,Melco Resorts and Entertainment (Philippines) Corporation,O,7.25,5687270800,41232713300,Services,Casinos & Gaming,January-December,7644100000,10618500000,21174500000,,34100500000,2023500000,10772100000,14651000000,25698800000,8401700000,8401700000,32579800000,4878500000,,2416800000,2416800000,4004600000,11919900000,-1791800000,-2030000000,,-9375800000,,,-9714400000
MRSGI,"Metro Retail Stores Group, Inc.",O,1.62,3429375000,5555587500,Services,Retail,January-December,2452000000,8704000000,12172000000,,22112000000,1308000000,5673000000,6613000000,12868000000,9244000000,9244000000,37557000000,437000000,,635000000,635000000,2047000000,3651000000,-1998000000,-2398000000,,5000000,,-206000000,-1870000000
NOW,Now Corporation,O,2.06,1672572468,3445499284,Services,Information Technology,January-December,11000000,651000000,14000000,1538000000,2205000000,70000000,337000000,50000000,390000000,1818000000,1815000000,222244600,21520700,,8989500,9250900,11241100,24524800,-6946100,-58411300,-11921437,-194700,,,28575200
PAL,"PAL Holdings, Inc.",O,6.55,11610978242,76051907485,Services,Transportation Services,January-December,5126000000,52958000000,236359000000,11118000000,327768000000,41132000000,117120000000,176653000000,317258000000,-14307000000,10510000000,147340000000,-6261000000,,-18857000000,-18286000000,25586000000,22052000000,-10999000000,7884000000,597300000,10758000000,,,-32763000000
PAX,"Paxys, Inc.",O,2.09,1148534866,2400437870,Services,Other Services,January-December,3810000000,3877000000,47000000,,3934000000,14000000,45000000,24000000,82000000,3851000000,3851000000,82952000,-80264000,,26375000,26375000,15574000,40088000,-1129000,737631000,,-15182000,,,-11482000
PGOLD,"Puregold Price Club, Inc.",O,44,2884232615,126906235060,Services,Retail,January-December,16351000000,38640000000,45121000000,623000000,108724000000,660000000,12213000000,30517000000,45061000000,63663000000,63663000000,163812000000,9736000000,14000000,7052000000,7052000000,4112000000,8180000000,-20000000,-2592000000,416400000,-3212000000,,-1148000000,-2766000000
PHA,Premiere Horizon Alliance Corporation,O,0.21,1990480889,418000987,Services,Other Services,January-December,56000000,2797000000,324000000,,3699000000,864000000,1862000000,923000000,2977000000,259000000,722000000,486684700,-152737600,,-419557400,-516244900,132067000,-257336000,-235362100,30596900,114870000,-49950200,,,199957300
PHC,Philcomsat Holdings Corporation,S,1.4,996391254,1394947756,Services,Other Services,January-December,258000000,,0,981000000,1478000000,,,,30000000,1448000000,1448000000,55869800,26191200,,26580900,26580900,-200000,58614000,-249100,-144640500,-2600000,,,,1372500
PHR,"PH Resorts Group Holdings, Inc.",O,2.64,4793266504,12654223571,Services,Casinos & Gaming,January-December,39000000,1796000000,6987000000,898000000,10645000000,3887000000,7992000000,2123000000,10278000000,367000000,367000000,132247900,-283428500,,-486575300,-486575300,-3990300,356702000,-4532781300,-6511221800,,0,,32000,6456923100
PLC,Premium Leisure Corp.,O,0.325,31216931000,10145502575,Services,Casinos & Gaming,January-December,2087000000,6673000000,150000000,507000000,18280000000,157000000,1727000000,9000000,1785000000,15990000000,16495000000,3573000000,1638000000,,2106000000,1940000000,485194400,2540593800,-75240100,-174761800,,-74065600,-191000000,-1528773500,-1679796200
PORT,"Globalport 900, Inc.",S,7.3,2156049400,15739160620,Services,Transportation Services,January-December,,693500000,,,5925000000,,355600000,,1277000000,3894000000,4648000000,1357287200,,,416881600,416881600,120133333,336472000,-175370533,-144984000,,,,,-184701467
PRC,"Philippine Racing Club, Inc.",O,8.39,546627296,4586203013,Services,Casinos & Gaming,January-December,656000000,2946000000,427000000,1960000000,6133000000,119000000,842000000,871000000,2256000000,3885000000,3877000000,1994000000,1084000000,,601000000,601000000,80283500,780889100,-8080400,89578300,,-449423273,-80200,-37150800,-586591500
PTT,Philippine Telegraph and Telephone Corporation,S,,1500000000,263999580,Services,Telecommunications,January-December,18128000,478192000,179384000,225708000,924921000,8062000,1384764000,20768000,1717259000,-792338000,-792338000,428104700,-12806300,,-47640800,-47640800,47308400,85249300,-24076300,-24076300,,,,,-54588300
RRHI,"Robinsons Retail Holdings, Inc.",O,62,1572287770,97481841740,Services,Retail,January-December,18526000000,42709000000,44569000000,19520000000,129543000000,4824000000,24727000000,25088000000,52308000000,72737000000,77235000000,165628000000,6263000000,120000000,4014000000,4561000000,7714000000,11946000000,-3144000000,5624000000,615032534,0,-41000000,-1445000000,-10849000000
RWM,"Travellers International Hotel Group, Inc. ",S,5.42,15755874850,85396841687,Services,Casinos & Gaming,January-December,10427000000,18202000000,81698000000,5810000000,112524000000,8071000000,17986000000,41690000000,66211000000,46100000000,46313000000,23138000000,-201000000,463000000,598000000,593000000,2737000000,100000000,-10764000000,-11363000000,34906200000,-24500000000,,-187000000,13720000000
SBS,SBS Philippines Corporation,O,4.81,1549999999,7455499995,Services,Other Services,January-December,1213000000,4251000000,95000000,3233000000,8267000000,1343000000,1372000000,1200000000,3304000000,4905000000,4963000000,1234151500,188357200,123870800,185536300,184096800,22786700,-2318060100,-100557300,55302700,800000000,-870000000,,-34100000,2191075700
SEVN,Philippine Seven Corporation,O,125.8,756418283,95157420001,Services,Retail,January-December,6069000000,12615000000,14280000000,2000000,29682000000,3621000000,13957000000,6725000000,21541000000,8141000000,8141000000,54516000000,1909000000,,1437000000,1437000000,3875000000,9475000000,6819000000,6786000000,-10155000000,-519000000,,-378000000,-12762000000
SSI,"SSI Group, Inc.",O,1.16,3298408430,3826153779,Services,Retail,January-December,1358000000,14194000000,2716000000,641000000,19167000000,5012000000,7429000000,63000000,7892000000,11275000000,11275000000,22356000000,927000000,66000000,922000000,922000000,639809700,51684700,-592310900,-657368100,21742500000,100,-2644300,-49957300,-52601500
STI,"STI Education Systems Holdings, Inc.",O,0.305,9904806924,3020966112,Services,Education,April-March,1110000000,3027000000,10098000000,1914000000,15553000000,306000000,2032000000,4473000000,6958000000,8505000000,8595000000,2708833700,348262100,2871800,158812800,157753200,516827600,610844300,-700663500,-765161700,0,39093500,,-1521100,123022200
TBGI,Transpacific Broadband Group Int`l. Inc.,O,0.175,3795622000,664233850,Services,Information Technology,January-December,5695200,7871100,106781900,469949100,594339300,5500000,31585500,,47895300,546443900,546443900,36884900,-931700,-613300,699900,699900,15152600,36130900,-50016400,-50016600,5500000,-48800000,,,11859200
TEL,PLDT Inc.,O,1250,216055775,270069718750,Services,Telecommunications,January-December,44774000000,91191000000,258577000000,59244000000,547634000000,50770000000,236013000000,178751000000,434605000000,108721000000,113029000000,173454000000,45395000000,-1697000000,21725000000,22038000000,41334000000,62478000000,-86494000000,-86119000000,45181000000,-17293000000,,-15595000000,10063000000
TUGS,"Harbor Star Shipping Services, Inc. ",O,0.81,894586870,724615365,Services,Transportation Services,January-December,326000000,1504000000,2392000000,162000000,6248000000,1273000000,1499000000,3165000000,4752000000,1488000000,1496000000,1430923100,39968400,3046300,-116056400,-105653200,342628100,-41064900,-1428445400,-746767300,3443648000,-1591138997,-37615000,,928976200
WEB,PhilWeb Corporation,O,2.29,1435776680,3287928597,Services,Information Technology,January-December,33689600,407983600,215648100,,780808000,236162100,397252300,78543100,522455000,258353000,258353000,546389900,382065300,,-78808200,-76459400,94026400,80906600,10613400,-104073200,50003125,-92200000,,,18880200
WLCON,"Wilcon Depot, Inc.",O,15,4099724116,61495861740,Services,Retail,January-December,3932000000,14895000000,10576000000,,26267000000,1542000000,7625000000,4144000000,12018000000,14249000000,14249000000,24333000000,2890000000,,1969000000,1969000000,1381000000,2925000000,-2286000000,-2294000000,,109000000,,-656000000,-1637000000
WPI,"Waterfront Philippines, Incorporated",O,0.39,2498991753,974606784,Services,Hotel & Leisure,January-December,732000000,5090000000,5002000000,22000000,12136000000,375000000,2951000000,,6340000000,5109000000,5796000000,1865859800,50544600,,-83813700,-249628000,294364400,-318654000,-644699400,-1895542600,0,-650036994,,,2815196600
APVI,"Altus Property Ventures, Inc.",O,,100000000,,"Small, Medium & Emerging Board",SME,January-December,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,Philab Holdings Corp.,S,2.86,2062276060,5898109532,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,6000000,1056000000,56000000,,1932000000,982000000,1786000000,149000000,1987000000,-46000000,-56000000,38801400,-62113600,,-205972000,-208616600,2876400,5519300,-1100000,14455500,,,,,-18991000
IDC,Italpinas Development Corporation,O,2.12,434185375,920472995,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,48000000,1379000000,7000000,143000000,1552000000,123000000,542000000,361000000,990000000,562000000,562000000,495587200,193263300,6500000,123867500,123867500,3049600,-336146800,-5999100,-5999100,226800000,96805381,,,342870900
